Filing_Jurisdiction,Filing_Year,Spender:id,Spender,Spender_Business_Classification:id,Spender_Business_Classification,Spender_Industry:id,Spender_Industry,Spender_Sector:id,Spender_Sector,Target:id,Target,Type_of_Target,Original_Target:id,Original_Target,Amount,Position:id,Position,Target_Payee:id,Target_Payee,MasterTransactionID,Candidate:id,Candidate,Election_Status,Type_of_Office:id,Type_of_Office,Status_of_Candidate:id,Status_of_Candidate,Incumbency_Status:id,Incumbency_Status
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,6671218,"TOBIN, ANDREW M (ANDY)",Candidate,23521439,ANDY TOBIN FOR AZ CORP COMMISSION,495053.34,3,Support,14109,MENTZER MEDIA SERVICES,148162958,6671218,"TOBIN, ANDREW M (ANDY)",Won-General,O,Other Statewide,1,Won,I,Incumbent
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",495053.33,3,Support,14109,MENTZER MEDIA SERVICES,148162956,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,40621860,"DUNN, BOYD",Candidate,23519673,BOYD DUNN 2016,495053.33,3,Support,14109,MENTZER MEDIA SERVICES,148162957,40621860,"DUNN, BOYD",Won-General,O,Other Statewide,1,Won,C,Challenger
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",400746.51,4,Oppose,27318400,KCPQ TV,53977418,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
AZ,2014,1823,NATIONAL ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6690747,"DUCEY, DOUGLAS A",Candidate,16608815,DUCEY 2014,399635,3,Support,15991,SMART MEDIA GROUP,67355871,6690747,"DUCEY, DOUGLAS A",Won-General,G,Gubernatorial,1,Won,O,Open
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",370312.15,4,Oppose,27321942,NCC MEDIA,53977401,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,6671218,"TOBIN, ANDREW M (ANDY)",Candidate,23521439,ANDY TOBIN FOR AZ CORP COMMISSION,316666.67,3,Support,14109,MENTZER MEDIA SERVICES,148162819,6671218,"TOBIN, ANDREW M (ANDY)",Won-General,O,Other Statewide,1,Won,I,Incumbent
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,40621860,"DUNN, BOYD",Candidate,23519673,BOYD DUNN 2016,316666.67,3,Support,14109,MENTZER MEDIA SERVICES,148162820,40621860,"DUNN, BOYD",Won-General,O,Other Statewide,1,Won,C,Challenger
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",316666.66,3,Support,14109,MENTZER MEDIA SERVICES,148162818,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",304373.13,4,Oppose,27318377,KIRO ENTERCOM COMMUNICATIONS,53977402,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
WI,2012,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,3650225,"WANGGAARD, VAN H",Candidate,6197254,"WANGGAARD, VAN H",296717.44,4,Oppose,27321881,NEW MEDIA FIRM,54103945,3650225,"WANGGAARD, VAN H",Lost-General,S,State Senate,2,Lost,I,Incumbent
WI,2012,18823,PLANNED PARENTHOOD OF WISCONSIN,224,Health care services,67,Health Services,8,Health,3650225,"WANGGAARD, VAN H",Candidate,6197254,"WANGGAARD, VAN H",291090.24,4,Oppose,27321881,NEW MEDIA FIRM,54103946,3650225,"WANGGAARD, VAN H",Lost-General,S,State Senate,2,Lost,I,Incumbent
CA,2018,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",44493605,"HURTADO, MELISSA",Candidate,24795939,"HURTADO, MELISSA",282617,4,Oppose,27317382,NO PAYEE IDENTIFIED,170274596,44493605,"HURTADO, MELISSA",Won-General,S,State Senate,1,Won,C,Challenger
CA,2010,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",791867,"VILLINES, MICHAEL N",Candidate,714114,"VILLINES, MIKE",262694,3,Support,27317382,NO PAYEE IDENTIFIED,53972147,791867,"VILLINES, MICHAEL N",Lost-General,O,Other Statewide,2,Lost,O,Open
CA,2010,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6398747,"CORREA, LOU",Candidate,449271,"CORREA, LOU",247450,3,Support,27317382,NO PAYEE IDENTIFIED,53972151,6398747,"CORREA, LOU",Won-General,S,State Senate,1,Won,I,Incumbent
NC,2016,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,6824444,"COOPER III, ROY ASBERRY",Candidate,207381,"COOPER, ROY",242223.52,3,Support,29311072,COMMUNITY OUTREACH GROUP,149015910,6824444,"COOPER III, ROY ASBERRY",Won-General,G,Gubernatorial,1,Won,C,Challenger
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",239720,4,Oppose,27321937,KCIS-AM,53977400,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",236097.83,4,Oppose,27321942,NCC MEDIA,53977403,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6059788,"MUNDELL, WILLIAM (BILL)",Candidate,23521232,BILL MUNDELL FOR CORPORATION COMMISSION,231500,3,Support,10080742,LINCOLN STRATEGY GROUP,148162883,6059788,"MUNDELL, WILLIAM (BILL)",Lost-General,O,Other Statewide,2,Lost,C,Challenger
CA,2016,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",161609,"KALRU, ASHU",Candidate,7277853,"KALRA, ASH",220000,4,Oppose,27317382,NO PAYEE IDENTIFIED,144530640,161609,"KALRU, ASHU",Won-General,H,State House/Assembly,1,Won,O,Open
WI,2018,4459,WISCONSIN REALTORS ASSOCIATION,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13009608,"ROTH JR, ROGER J",Candidate,18511969,ROTH FOR WISCONSIN,208850,3,Support,44746581,FIVE CORNER STRATEGIES,170613310,13009608,"ROTH JR, ROGER J",Won-General,S,State Senate,1,Won,I,Incumbent
CA,2008,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6601271,"STRICKLAND, TONY",Candidate,471392,"STRICKLAND, TONY",208000,3,Support,27317382,NO PAYEE IDENTIFIED,53969849,6601271,"STRICKLAND, TONY",Won-General,S,State Senate,1,Won,O,Open
CA,2018,4265,PHARMACEUTICAL RESEARCH & MANUFACTURERS ASSOCIATION OF AMERICA / PHRMA,235,Pharmaceutical manufacturing,68,Pharmaceuticals & Health Products,8,Health,666867,"KOUNALAKIS, ELENI TSAKOPOLOUS",Candidate,13531987,"KOUNALAKIS, ELENI",200000,3,Support,27317382,NO PAYEE IDENTIFIED,170268756,666867,"KOUNALAKIS, ELENI TSAKOPOLOUS",Won-General,G,Gubernatorial,1,Won,O,Open
NC,2016,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,6674339,"MCCRORY, PATRICK L (PAT)",Candidate,3844250,"MCCRORY, PAT",198454.78,4,Oppose,27334327,RISING TIDE INTERACTIVE LLC,144253636,6674339,"MCCRORY, PATRICK L (PAT)",Lost-General,G,Gubernatorial,2,Lost,I,Incumbent
CA,2006,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",190779,"DUTRA, JOHN A",Candidate,351363,"DUTRA, JOHN",196811.75,3,Support,27317382,NO PAYEE IDENTIFIED,53950692,190779,"DUTRA, JOHN A",Lost-Primary,S,State Senate,2,Lost,O,Open
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6059788,"MUNDELL, WILLIAM (BILL)",Candidate,23521232,BILL MUNDELL FOR CORPORATION COMMISSION,183898.4,3,Support,10080742,LINCOLN STRATEGY GROUP,148162888,6059788,"MUNDELL, WILLIAM (BILL)",Lost-General,O,Other Statewide,2,Lost,C,Challenger
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",178400,3,Support,14109,MENTZER MEDIA SERVICES,148162824,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,6671218,"TOBIN, ANDREW M (ANDY)",Candidate,23521439,ANDY TOBIN FOR AZ CORP COMMISSION,178400,3,Support,14109,MENTZER MEDIA SERVICES,148162825,6671218,"TOBIN, ANDREW M (ANDY)",Won-General,O,Other Statewide,1,Won,I,Incumbent
AZ,2016,43265283,ARIZONA COALITION FOR RELIABLE ELECTRICITY,102,Electric power utilities,36,Electric Utilities,5,Energy & Natural Resources,40621860,"DUNN, BOYD",Candidate,23519673,BOYD DUNN 2016,178400,3,Support,14109,MENTZER MEDIA SERVICES,148162827,40621860,"DUNN, BOYD",Won-General,O,Other Statewide,1,Won,C,Challenger
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",175000,3,Support,10080742,LINCOLN STRATEGY GROUP,141925288,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
WI,2016,4459,WISCONSIN REALTORS ASSOCIATION,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",3238822,"FEYEN, DAN",Candidate,6194591,"FEYEN, DANIEL",173608,3,Support,42142799,FIVE CORNERS STRATEGIES,143496585,3238822,"FEYEN, DAN",Won-General,S,State Senate,1,Won,O,Open
WA,2008,3266,BUILDING INDUSTRY ASSOCIATION OF WASHINGTON,29,Builders associations,11,General Contractors,2,Construction,2657541,"ROSSI, DINO J",Candidate,5788845,"ROSSI, DINO",168250,3,Support,27318356,LAMAR COMPANIES,53977345,2657541,"ROSSI, DINO J",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
MN,2018,18832,PLANNED PARENTHOOD MINNESOTA NORTH DAKOTA SOUTH DAKOTA,224,Health care services,67,Health Services,8,Health,9202001,"WALZ, TIMOTHY J (TIM)",Candidate,26051159,TIM WALZ FOR GOVERNOR,167617.12,3,Support,19676838,PIVOT GROUP INC,173721158,9202001,"WALZ, TIMOTHY J (TIM) & FLANAGAN, PEGGY",Won-General,G,Gubernatorial,1,Won,O,Open
CA,2016,3468,CALIFORNIA DENTAL ASSOCIATION,215,Dentists,65,Health Professionals,8,Health,594598,"CHANG, LING LING",Candidate,707614,"CHANG, LING LING",161888,3,Support,27317382,NO PAYEE IDENTIFIED,144532460,594598,"CHANG, LING LING",Lost-General,S,State Senate,2,Lost,O,Open
NC,2016,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,6824444,"COOPER III, ROY ASBERRY",Candidate,207381,"COOPER, ROY",157305.68,3,Support,29311072,COMMUNITY OUTREACH GROUP,144239327,6824444,"COOPER III, ROY ASBERRY",Won-General,G,Gubernatorial,1,Won,C,Challenger
CA,2014,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",1348234,"GLAZER, STEVEN",Candidate,7036923,"GLAZER, STEVE",150300,3,Support,27317382,NO PAYEE IDENTIFIED,76519868,1348234,"GLAZER, STEVEN",Lost-Top Two Primary,H,State House/Assembly,2,Lost,O,Open
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",150000,3,Support,10080742,LINCOLN STRATEGY GROUP,148162866,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6059788,"MUNDELL, WILLIAM (BILL)",Candidate,23521232,BILL MUNDELL FOR CORPORATION COMMISSION,150000,3,Support,10080742,LINCOLN STRATEGY GROUP,148162867,6059788,"MUNDELL, WILLIAM (BILL)",Lost-General,O,Other Statewide,2,Lost,C,Challenger
CA,2016,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",161609,"KALRU, ASHU",Candidate,7277853,"KALRA, ASH",150000,4,Oppose,27317382,NO PAYEE IDENTIFIED,148661376,161609,"KALRU, ASHU",Won-General,H,State House/Assembly,1,Won,O,Open
WI,2014,4459,WISCONSIN REALTORS ASSOCIATION,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",13009608,"ROTH JR, ROGER J",Candidate,2025507,"ROTH, ROGER",149750,3,Support,29311070,FIVE CORNERS STRATEGIES,65803354,13009608,"ROTH JR, ROGER J",Won-General,S,State Senate,1,Won,O,Open
CA,2014,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",330788,"VIDAK, JAMES ANDREW (ANDY)",Candidate,13008657,"VIDAK, ANDY",146994,3,Support,27317382,NO PAYEE IDENTIFIED,76519829,330788,"VIDAK, JAMES ANDREW (ANDY)",Won-General,S,State Senate,1,Won,I,Incumbent
NC,2016,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,6674339,"MCCRORY, PATRICK L (PAT)",Candidate,17022527,"MCRORY, PAT",146915.93,4,Oppose,29311072,COMMUNITY OUTREACH GROUP,144239326,6674339,"MCCRORY, PATRICK L (PAT)",Lost-General,G,Gubernatorial,2,Lost,I,Incumbent
WA,2008,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2657541,"ROSSI, DINO J",Candidate,5788845,"ROSSI, DINO",145991.48,3,Support,3307654,MINNICK & MINNICK,53977507,2657541,"ROSSI, DINO J",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WA,2008,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2657541,"ROSSI, DINO J",Candidate,5788845,"ROSSI, DINO",145245.05,3,Support,3307654,MINNICK & MINNICK,53977501,2657541,"ROSSI, DINO J",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WA,2008,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2657541,"ROSSI, DINO J",Candidate,5788845,"ROSSI, DINO",144517.09,3,Support,3307654,MINNICK & MINNICK,53977510,2657541,"ROSSI, DINO J",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
WA,2008,9414,WASHINGTON ASSOCIATON OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",2657541,"ROSSI, DINO J",Candidate,5788845,"ROSSI, DINO",144517.09,3,Support,3307654,MINNICK & MINNICK,53977515,2657541,"ROSSI, DINO J",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
CA,2012,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",21639,"GALGIANI, CATHLEEN",Candidate,705069,"GALGIANI, CATHLEEN",140180,3,Support,27317382,NO PAYEE IDENTIFIED,54091521,21639,"GALGIANI, CATHLEEN",Won-General,S,State Senate,1,Won,O,Open
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",140068,4,Oppose,27318377,KIRO ENTERCOM COMMUNICATIONS,53977399,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
NC,2016,18842,PLANNED PARENTHOOD FEDERATION OF AMERICA,224,Health care services,67,Health Services,8,Health,5853356,"ROSS, DEBORAH",Candidate,3862286,"ROSS, DEBORAH K.",139380.91,3,Support,29311072,COMMUNITY OUTREACH GROUP,149015908,5853356,"ROSS, DEBORAH",Lost-General,U,US Senate,2,Lost,C,Challenger
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,6445751,"GREGOIRE, CHRISTINE O",Candidate,2756653,"GREGOIRE, CHRISTINE",138658.43,4,Oppose,7957556,DRESNER WICKERS & ASSOCIATES,53977407,6445751,"GREGOIRE, CHRISTINE O",Won-General,G,Gubernatorial,1,Won,I,Incumbent
MN,2018,18832,PLANNED PARENTHOOD MINNESOTA NORTH DAKOTA SOUTH DAKOTA,224,Health care services,67,Health Services,8,Health,9202001,"WALZ, TIMOTHY J (TIM)",Candidate,26051159,TIM WALZ FOR GOVERNOR,134000,3,Support,17599616,BLUEPRINT INTERACTIVE,173720668,9202001,"WALZ, TIMOTHY J (TIM) & FLANAGAN, PEGGY",Won-General,G,Gubernatorial,1,Won,O,Open
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",131766,3,Support,10080742,LINCOLN STRATEGY GROUP,141925291,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
CO,2016,18850,PLANNED PARENTHOOD OF THE ROCKY MOUNTAINS,224,Health care services,67,Health Services,8,Health,18917813,"KAGAN, DANIEL (DAN)",Candidate,3167083,"KAGAN, DANIEL",127771.46,3,Support,43407193,COMMUNITY OUTREACH GROUP,148373495,18917813,"KAGAN, DANIEL (DAN)",Won-General,S,State Senate,1,Won,O,Open
CO,2016,18850,PLANNED PARENTHOOD OF THE ROCKY MOUNTAINS,224,Health care services,67,Health Services,8,Health,18917813,"KAGAN, DANIEL (DAN)",Candidate,3167083,"KAGAN, DANIEL",127771.46,3,Support,43407193,COMMUNITY OUTREACH GROUP,148374105,18917813,"KAGAN, DANIEL (DAN)",Won-General,S,State Senate,1,Won,O,Open
WA,2008,3671705,ITS TIME FOR A CHANGE,29,Builders associations,11,General Contractors,2,Construction,2657541,"ROSSI, DINO J",Candidate,5788845,"ROSSI, DINO",125319.47,3,Support,7957556,DRESNER WICKERS & ASSOCIATES,53977416,2657541,"ROSSI, DINO J",Lost-General,G,Gubernatorial,2,Lost,C,Challenger
CO,2016,43130659,AMERICAN WIND ACTION,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,23439523,"WOODS, LAURA J",Candidate,19668377,"WOODS, LAURA J",125000,4,Oppose,29217375,BULLY PULPIT INTERACTIVE,148371302,23439523,"WOODS, LAURA J",Lost-General,S,State Senate,2,Lost,I,Incumbent
CO,2016,43130659,AMERICAN WIND ACTION,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,23439523,"WOODS, LAURA J",Candidate,19668377,"WOODS, LAURA J",125000,4,Oppose,29217375,BULLY PULPIT INTERACTIVE,148374882,23439523,"WOODS, LAURA J",Lost-General,S,State Senate,2,Lost,I,Incumbent
TX,2018,391,BORDER HEALTH PAC,220,Health care institutions,66,Hospitals & Nursing Homes,8,Health,11860515,"PATRICK, DAN GOEB",Candidate,12978036,"PATRICK, MR DAN",125000,5,Unknown,41383379,"PATRICK, MR DAN",174436095,11860515,"PATRICK, DAN GOEB",Won-General,G,Gubernatorial,1,Won,I,Incumbent
TX,2018,391,BORDER HEALTH PAC,220,Health care institutions,66,Hospitals & Nursing Homes,8,Health,11281947,"ABBOTT, GREG",Candidate,17010924,"ABBOTT, MR GREG",125000,5,Unknown,43467087,"ABBOTT, MR GREG",174436101,11281947,"ABBOTT, GREG",Won-General,G,Gubernatorial,1,Won,I,Incumbent
CA,2008,3468,CALIFORNIA DENTAL ASSOCIATION,215,Dentists,65,Health Professionals,8,Health,6485591,"BLOCK, MARTY",Candidate,6342353,"BLOCK, MARTY",123835,4,Oppose,27317382,NO PAYEE IDENTIFIED,53966446,6485591,"BLOCK, MARTY",Won-General,H,State House/Assembly,1,Won,O,Open
CA,2006,4438,CALIFORNIA ASSOCIATION OF REALTORS,131,Real estate,51,Real Estate,6,"Finance, Insurance & Real Estate",6398747,"CORREA, LOU",Candidate,449271,"CORREA, LOU",121535.29,3,Support,27317382,NO PAYEE IDENTIFIED,53950724,6398747,"CORREA, LOU",Won-General,S,State Senate,1,Won,O,Open
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6059788,"MUNDELL, WILLIAM (BILL)",Candidate,23521232,BILL MUNDELL FOR CORPORATION COMMISSION,116290,3,Support,10080742,LINCOLN STRATEGY GROUP,148162874,6059788,"MUNDELL, WILLIAM (BILL)",Lost-General,O,Other Statewide,2,Lost,C,Challenger
AZ,2016,40915628,SAVE OUR AZ SOLAR,101,Alternative energy production & services,32,Miscellaneous Energy,5,Energy & Natural Resources,6602310,"BURNS, ROBERT (BOB)",Candidate,23095486,"ELECT ROBERT ""BOB"" BURNS",116290,3,Support,10080742,LINCOLN STRATEGY GROUP,148162877,6602310,"BURNS, ROBERT (BOB)",Won-General,O,Other Statewide,1,Won,I,Incumbent
