Candidate_id,Candidate_Entity_ID,General_Party_ID,Election_Type,Office_Sought,Broad_Sector,Incumbency_Status,Election_Year,Industry_Spending_Totals,Status_of_Candidate,Status_of_Candidate,Candidate,Election_Status,General_Party,Election_Type,Office_Sought,Incumbency_Status,Broad_Sector
82897,1264215,1,1,9175,6,2,2002,1891437,1,Won,"LOCKYER, BILL",Won-General,Democratic,Standard,ATTORNEY GENERAL,Incumbent,"Finance, Insurance & Real Estate"
223744,312332,1,1,9169,8,1,2018,1799158,1,Won,"NEWSOM, GAVIN",Won-General,Democratic,Standard,GOVERNOR,Open,Health
103440,6617390,2,1,9172,6,2,1998,1663061,1,Won,"QUACKENBUSH, CHUCK",Won-General,Republican,Standard,INSURANCE COMMISSIONER,Incumbent,"Finance, Insurance & Real Estate"
12373,792818,1,1,9172,6,1,2002,1660238,2,Lost,"CALDERON, THOMAS M (TOM)",Lost-Primary,Democratic,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
82901,6398792,1,1,9169,5,2,2002,1651024,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Incumbent,Energy & Natural Resources
82901,6398792,1,1,9169,2,2,2002,1622406,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Incumbent,Construction
86134,1288156,1,1,672,6,2,2000,1563828,1,Won,"BURTON, JOHN L",Won-General,Democratic,Standard,SENATE DISTRICT 003,Incumbent,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,8,2,2006,1557205,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Incumbent,Health
82841,27541,1,1,9170,6,1,2002,1467407,1,Won,"WESTLY, STEVEN P",Won-General,Democratic,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
223742,6451725,1,1,9169,6,1,2018,1376734,2,Lost,"VILLARAIGOSA, ANTONIO",Lost-Top Two Primary,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
167906,70023,1,1,9169,8,2,2014,1372017,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Incumbent,Health
202189,331199,2,1,15018,6,2,2016,1349615,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
110976,70023,1,1,9175,6,1,2006,1315346,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
2587,6398641,1,1,9172,6,1,2002,1289929,2,Lost,"UMBERG, TOM",Lost-Primary,Democratic,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
33014,48993,2,1,9169,2,3,2002,1171793,2,Lost,"SIMON JR, WILLIAM E (BILL)",Lost-General,Republican,Standard,GOVERNOR,Challenger,Construction
123398,70023,1,1,9169,8,1,2010,1148859,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Open,Health
65375,29169,2,1,9169,8,1,2010,1148654,2,Lost,"WHITMAN, MARGARET C (MEG)",Lost-General,Republican,Standard,GOVERNOR,Open,Health
202249,390709,2,1,15034,6,2,2016,1117200,1,Won,"ROYCE SR, EDWARD D",Won-General,Republican,Standard,US HOUSE DISTRICT CA 039,Incumbent,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,5,2,2006,1108928,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Incumbent,Energy & Natural Resources
49626,6654738,2,1,9174,6,3,1998,1060888,2,Lost,"PRINGLE, CURT",Lost-General,Republican,Standard,TREASURER,Challenger,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,5,1,1998,1057432,2,Lost,"LUNGREN, DANIEL E",Lost-General,Republican,Standard,GOVERNOR,Open,Energy & Natural Resources
160183,2545581,1,1,14929,6,2,2010,1031755,1,Won,"BOXER, BARBARA S",Won-General,Democratic,Standard,US SENATE DISTRICT CA SW-CLASS III,Incumbent,"Finance, Insurance & Real Estate"
167911,1645943,2,1,9169,6,3,2014,1025080,2,Lost,"KASHKARI, NEEL T",Lost-General,Republican,Standard,GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,2,1,1998,959486,2,Lost,"LUNGREN, DANIEL E",Lost-General,Republican,Standard,GOVERNOR,Open,Construction
223743,433187,1,1,9169,6,1,2018,936250,2,Lost,"CHIANG, JOHN",Lost-Top Two Primary,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
65375,29169,2,1,9169,2,1,2010,917353,2,Lost,"WHITMAN, MARGARET C (MEG)",Lost-General,Republican,Standard,GOVERNOR,Open,Construction
103467,6398792,1,1,9169,5,1,1998,900857,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Open,Energy & Natural Resources
103467,6398792,1,1,9169,8,1,1998,883203,1,Won,"DAVIS, GRAY",Won-General,Democratic,Standard,GOVERNOR,Open,Health
223744,312332,1,1,9169,5,1,2018,882506,1,Won,"NEWSOM, GAVIN",Won-General,Democratic,Standard,GOVERNOR,Open,Energy & Natural Resources
161117,18930573,2,1,14929,6,3,2010,876182,2,Lost,"FIORINA, CARLY",Lost-General,Republican,Standard,US SENATE DISTRICT CA SW-CLASS III,Challenger,"Finance, Insurance & Real Estate"
223781,2388358,4,1,9176,6,1,2018,867551,2,Lost,"TUCK, MARSHALL",Lost-General,Nonpartisan,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,"Finance, Insurance & Real Estate"
65375,29169,2,1,9169,5,1,2010,862781,2,Lost,"WHITMAN, MARGARET C (MEG)",Lost-General,Republican,Standard,GOVERNOR,Open,Energy & Natural Resources
167906,70023,1,1,9169,5,2,2014,851450,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Incumbent,Energy & Natural Resources
15208,6468714,1,1,9175,6,1,2006,823785,2,Lost,"DELGADILLO, ROCKY",Lost-Primary,Democratic,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
211497,21642,1,1,14929,6,1,2016,815056,1,Won,"HARRIS, KAMALA D",Won-General,Democratic,Standard,US SENATE DISTRICT CA SW-CLASS III,Open,"Finance, Insurance & Real Estate"
227023,331199,2,1,15018,6,2,2018,814400,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
141950,331199,2,1,15018,6,2,2012,809900,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
125813,21642,1,1,9175,6,1,2010,801771,1,Won,"HARRIS, KAMALA D",Won-General,Democratic,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
66968,6686461,2,1,9175,6,1,2010,795921,2,Lost,"COOLEY, STEVE",Lost-General,Republican,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
223775,363200,1,1,9173,8,1,2018,784967,2,Lost,"HERNANDEZ, EDWARD P",Lost-General,Democratic,Standard,LIEUTENANT GOVERNOR,Open,Health
55047,6566757,2,1,9175,6,1,2006,779043,2,Lost,"POOCHIGIAN, CHARLES S",Lost-General,Republican,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
168125,390709,2,1,15034,6,2,2014,778686,1,Won,"ROYCE SR, EDWARD D",Won-General,Republican,Standard,US HOUSE DISTRICT CA 039,Incumbent,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,8,1,1998,775367,2,Lost,"LUNGREN, DANIEL E",Lost-General,Republican,Standard,GOVERNOR,Open,Health
141954,390709,2,1,15034,6,2,2012,774599,1,Won,"ROYCE SR, EDWARD D",Won-General,Republican,Standard,US HOUSE DISTRICT CA 039,Incumbent,"Finance, Insurance & Real Estate"
103514,728939,1,1,9174,6,2,1998,734772,1,Won,"ANGELIDES, PHIL",Won-General,Democratic,Standard,TREASURER,Incumbent,"Finance, Insurance & Real Estate"
167918,312332,1,1,9173,6,2,2014,721398,1,Won,"NEWSOM, GAVIN",Won-General,Democratic,Standard,LIEUTENANT GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
223759,44000521,2,1,9169,6,1,2018,707975,2,Lost,"COX, JOHN H",Lost-General,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
103792,13010608,3,1,9176,6,1,2002,701604,1,Won,"OCONNELL, JACK",Won-General,Third-Party,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,"Finance, Insurance & Real Estate"
202189,331199,2,1,15018,8,2,2016,700853,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,Health
12372,13010147,2,1,9170,6,1,2002,694138,2,Lost,"ANDAL, DEAN F",Lost-Primary,Republican,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
103465,1264215,1,1,9175,6,1,1998,676726,1,Won,"LOCKYER, BILL",Won-General,Democratic,Standard,ATTORNEY GENERAL,Open,"Finance, Insurance & Real Estate"
86163,13011204,2,1,704,6,2,2000,675886,1,Won,"JOHNSON, ROSS",Won-General,Republican,Standard,SENATE DISTRICT 035,Incumbent,"Finance, Insurance & Real Estate"
123398,70023,1,1,9169,5,1,2010,651195,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Open,Energy & Natural Resources
33014,48993,2,1,9169,8,3,2002,634280,2,Lost,"SIMON JR, WILLIAM E (BILL)",Lost-General,Republican,Standard,GOVERNOR,Challenger,Health
82850,6398585,1,1,636,6,2,2002,633549,1,Won,"WESSON JR, HERB J",Won-General,Democratic,Standard,ASSEMBLY DISTRICT 047,Incumbent,"Finance, Insurance & Real Estate"
2579,12996619,2,1,9169,6,1,2002,620873,2,Lost,"JONES, BILL",Lost-Primary,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
223730,16562595,1,1,9175,6,2,2018,617135,1,Won,"BECERRA, XAVIER",Won-General,Democratic,Standard,ATTORNEY GENERAL,Incumbent,"Finance, Insurance & Real Estate"
55037,2481759,2,1,9173,6,1,2006,610057,2,Lost,"MCCLINTOCK, TOM",Lost-General,Republican,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
58340,728939,1,1,9169,8,3,2006,606847,2,Lost,"ANGELIDES, PHIL",Lost-General,Democratic,Standard,GOVERNOR,Challenger,Health
168047,331199,2,1,15018,6,2,2014,599245,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,"Finance, Insurance & Real Estate"
223772,666867,1,1,9173,6,1,2018,591685,1,Won,"KOUNALAKIS, ELENI TSAKOPOLOUS",Won-General,Democratic,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
84766,2138468,2,1,9169,2,1,2003,586070,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Open,Construction
103758,13008505,1,1,678,6,2,2004,584997,1,Won,"PERATA, DON",Won-General,Democratic,Standard,SENATE DISTRICT 009,Incumbent,"Finance, Insurance & Real Estate"
167942,21642,1,1,9175,6,2,2014,578255,1,Won,"HARRIS, KAMALA D",Won-General,Democratic,Standard,ATTORNEY GENERAL,Incumbent,"Finance, Insurance & Real Estate"
227264,2429326,2,1,15017,6,2,2018,574641,1,Won,"NUNES, DEVIN G",Won-General,Republican,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
115444,12997062,1,1,9173,6,1,2006,573071,1,Won,"GARAMENDI, JOHN",Won-General,Democratic,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
111040,12996637,2,1,9172,6,1,2006,550050,1,Won,"POIZNER, STEPHEN (STEVE)",Won-General,Republican,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
125744,312332,1,1,9173,6,1,2010,546982,1,Won,"NEWSOM, GAVIN",Won-General,Democratic,Standard,LIEUTENANT GOVERNOR,Open,"Finance, Insurance & Real Estate"
20921,12996637,2,1,9169,6,1,2010,541040,2,Lost,"POIZNER, STEPHEN (STEVE)",Lost-Primary,Republican,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
103531,6451725,1,1,634,6,2,1998,540617,1,Won,"VILLARAIGOSA, ANTONIO",Won-General,Democratic,Standard,ASSEMBLY DISTRICT 045,Incumbent,"Finance, Insurance & Real Estate"
55055,6601271,2,1,9170,6,1,2006,538537,2,Lost,"STRICKLAND, TONY",Lost-General,Republican,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
58530,1967393,2,1,9171,6,2,2006,527732,2,Lost,"MCPHERSON, BRUCE",Lost-General,Republican,Standard,SECRETARY OF STATE,Incumbent,"Finance, Insurance & Real Estate"
35465,6398859,1,1,9169,6,1,2003,519672,2,Lost,"BUSTAMANTE, CRUZ M",Lost-General,Democratic,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
86133,6617052,2,1,700,6,2,2000,518626,1,Won,"BRULTE, JAMES L",Won-General,Republican,Standard,SENATE DISTRICT 031,Incumbent,"Finance, Insurance & Real Estate"
141950,331199,2,1,15018,8,2,2012,515949,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,Health
125800,1920664,1,1,675,6,2,2010,515639,1,Won,"STEINBERG, DARRELL S",Won-General,Democratic,Standard,SENATE DISTRICT 006,Incumbent,"Finance, Insurance & Real Estate"
109368,6413790,1,1,674,6,2,2004,512736,1,Won,"MACHADO, MICHAEL J",Won-General,Democratic,Standard,SENATE DISTRICT 005,Incumbent,"Finance, Insurance & Real Estate"
227023,331199,2,1,15018,8,2,2018,509500,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,Health
223744,312332,1,1,9169,2,1,2018,507720,1,Won,"NEWSOM, GAVIN",Won-General,Democratic,Standard,GOVERNOR,Open,Construction
228232,26294,1,1,15414,6,2,2018,498622,1,Won,"FEINSTEIN, DIANNE",Won-General,Democratic,Standard,US SENATE DISTRICT CA SW-CLASS I,Incumbent,"Finance, Insurance & Real Estate"
123398,70023,1,1,9169,2,1,2010,497552,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Open,Construction
160449,331199,2,1,15017,6,2,2010,491400,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
202189,331199,2,1,15018,5,2,2016,490850,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,Energy & Natural Resources
84766,2138468,2,1,9169,8,1,2003,490482,1,Won,"SCHWARZENEGGER, ARNOLD",Won-General,Republican,Standard,GOVERNOR,Open,Health
223743,433187,1,1,9169,8,1,2018,490361,2,Lost,"CHIANG, JOHN",Lost-Top Two Primary,Democratic,Standard,GOVERNOR,Open,Health
82904,728939,1,1,9174,2,2,2002,490118,1,Won,"ANGELIDES, PHIL",Won-General,Democratic,Standard,TREASURER,Incumbent,Construction
202187,2429326,2,1,15017,6,2,2016,486200,1,Won,"NUNES, DEVIN G",Won-General,Republican,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
160115,390709,2,1,15035,6,2,2010,478755,1,Won,"ROYCE SR, EDWARD D",Won-General,Republican,Standard,US HOUSE DISTRICT CA 040,Incumbent,"Finance, Insurance & Real Estate"
33015,1967393,2,1,9173,6,3,2002,474357,2,Lost,"MCPHERSON, BRUCE",Lost-General,Republican,Standard,LIEUTENANT GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
12264,1256503,1,1,9169,8,1,1998,467750,2,Lost,"HARMAN, JANE",Lost-Primary,Democratic,Standard,GOVERNOR,Open,Health
226795,17657757,1,1,15031,8,2,2018,465510,1,Won,"RUIZ, RAUL",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 036,Incumbent,Health
103590,6617274,2,1,652,6,2,1998,456666,1,Won,"LEONARD, BILL",Won-General,Republican,Standard,ASSEMBLY DISTRICT 063,Incumbent,"Finance, Insurance & Real Estate"
66969,6601271,2,1,9170,6,3,2010,454600,2,Lost,"STRICKLAND, TONY",Lost-General,Republican,Standard,CONTROLLER,Challenger,"Finance, Insurance & Real Estate"
202138,12556998,1,1,15002,8,2,2016,453130,1,Won,"BERA, AMI",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 007,Incumbent,Health
202138,12556998,1,1,15002,6,2,2016,443700,1,Won,"BERA, AMI",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 007,Incumbent,"Finance, Insurance & Real Estate"
82862,12997062,1,1,9172,6,1,2002,442670,1,Won,"GARAMENDI, JOHN",Won-General,Democratic,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
141950,331199,2,1,15018,5,2,2012,439400,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,Energy & Natural Resources
86134,1288156,1,1,672,5,2,2000,438807,1,Won,"BURTON, JOHN L",Won-General,Democratic,Standard,SENATE DISTRICT 003,Incumbent,Energy & Natural Resources
168205,363200,1,1,691,8,2,2014,437078,1,Won,"HERNANDEZ, EDWARD P",Won-General,Democratic,Standard,SENATE DISTRICT 022,Incumbent,Health
185903,16535081,4,1,18911,6,1,2014,436695,1,Won,"GAMOIAN, LISA M",Won-General,Nonpartisan,Standard,SUPERIOR COURT DISTRICT FRESNO COUNTY-015,Open,"Finance, Insurance & Real Estate"
82911,6398859,1,1,9173,6,2,2002,434960,1,Won,"BUSTAMANTE, CRUZ M",Won-General,Democratic,Standard,LIEUTENANT GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
226707,12556998,1,1,15002,8,2,2018,434699,1,Won,"BERA, AMI",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 007,Incumbent,Health
202568,23421309,2,1,655,6,2,2016,433668,2,Lost,"HADLEY, DAVID F",Lost-General,Republican,Standard,ASSEMBLY DISTRICT 066,Incumbent,"Finance, Insurance & Real Estate"
2589,12996620,2,1,9169,8,1,2002,432382,2,Lost,"RIORDAN, RICHARD J",Lost-Primary,Republican,Standard,GOVERNOR,Open,Health
49895,2481759,2,1,9170,6,1,2002,431479,2,Lost,"MCCLINTOCK, TOM",Lost-General,Republican,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
58340,728939,1,1,9169,2,3,2006,429093,2,Lost,"ANGELIDES, PHIL",Lost-General,Democratic,Standard,GOVERNOR,Challenger,Construction
226920,13008846,2,1,15040,6,2,2018,428699,2,Lost,"WALTERS, MIMI",Lost-General,Republican,Standard,US HOUSE DISTRICT CA 045,Incumbent,"Finance, Insurance & Real Estate"
167954,2388358,4,1,9176,6,3,2014,428351,2,Lost,"TUCK, MARSHALL",Lost-General,Nonpartisan,Standard,SUPERINTENDENT OF PUBLIC INSTRUCTION,Challenger,"Finance, Insurance & Real Estate"
82897,1264215,1,1,9175,8,2,2002,423599,1,Won,"LOCKYER, BILL",Won-General,Democratic,Standard,ATTORNEY GENERAL,Incumbent,Health
202131,1952480,1,1,15000,6,2,2016,423381,1,Won,"THOMPSON, MIKE",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 005,Incumbent,"Finance, Insurance & Real Estate"
202428,16635303,2,1,605,6,2,2016,421582,1,Won,"BAKER, CATHARINE",Won-General,Republican,Standard,ASSEMBLY DISTRICT 016,Incumbent,"Finance, Insurance & Real Estate"
227023,331199,2,1,15018,5,2,2018,421300,1,Won,"MCCARTHY, KEVIN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 023,Incumbent,Energy & Natural Resources
227228,1952480,1,1,15000,6,2,2018,420320,1,Won,"THOMPSON, MIKE",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 005,Incumbent,"Finance, Insurance & Real Estate"
140986,17657735,1,1,15025,6,2,2012,419700,2,Lost,"BERMAN, HOWARD L",Lost-General,Democratic,Standard,US HOUSE DISTRICT CA 030,Incumbent,"Finance, Insurance & Real Estate"
125800,1920664,1,1,675,8,2,2010,417850,1,Won,"STEINBERG, DARRELL S",Won-General,Democratic,Standard,SENATE DISTRICT 006,Incumbent,Health
167906,70023,1,1,9169,2,2,2014,415313,1,Won,"BROWN JR, EDMUND G (JERRY)",Won-General,Democratic,Standard,GOVERNOR,Incumbent,Construction
167983,12556998,1,1,15002,8,2,2014,413758,1,Won,"BERA, AMI",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 007,Incumbent,Health
117007,791867,2,1,618,6,2,2008,412595,1,Won,"VILLINES, MICHAEL N",Won-General,Republican,Standard,ASSEMBLY DISTRICT 029,Incumbent,"Finance, Insurance & Real Estate"
110983,433187,1,1,9170,6,1,2006,409909,1,Won,"CHIANG, JOHN",Won-General,Democratic,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
82850,6398585,1,1,636,8,2,2002,409485,1,Won,"WESSON JR, HERB J",Won-General,Democratic,Standard,ASSEMBLY DISTRICT 047,Incumbent,Health
202298,622640,1,1,15046,6,2,2016,409200,1,Won,"VARGAS, JUAN",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 051,Incumbent,"Finance, Insurance & Real Estate"
86159,6413709,1,1,629,6,2,2000,408703,1,Won,"HERTZBERG, ROBERT (BOB)",Won-General,Democratic,Standard,ASSEMBLY DISTRICT 040,Incumbent,"Finance, Insurance & Real Estate"
202239,17657757,1,1,15031,8,2,2016,399540,1,Won,"RUIZ, RAUL",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 036,Incumbent,Health
202221,369166,1,1,15025,6,2,2016,398515,1,Won,"SHERMAN, BRAD",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 030,Incumbent,"Finance, Insurance & Real Estate"
125815,13008469,1,1,9172,8,1,2010,397486,1,Won,"JONES, DAVE",Won-General,Democratic,Standard,INSURANCE COMMISSIONER,Open,Health
86134,1288156,1,1,672,8,2,2000,396435,1,Won,"BURTON, JOHN L",Won-General,Democratic,Standard,SENATE DISTRICT 003,Incumbent,Health
141957,1874435,2,1,15040,6,2,2012,392663,1,Won,"CAMPBELL, JOHN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 045,Incumbent,"Finance, Insurance & Real Estate"
2589,12996620,2,1,9169,2,1,2002,391388,2,Lost,"RIORDAN, RICHARD J",Lost-Primary,Republican,Standard,GOVERNOR,Open,Construction
117144,6601271,2,1,688,6,1,2008,387116,1,Won,"STRICKLAND, TONY",Won-General,Republican,Standard,SENATE DISTRICT 019,Open,"Finance, Insurance & Real Estate"
111034,13008677,1,1,635,6,2,2006,385359,1,Won,"NUNEZ, FABIAN",Won-General,Democratic,Standard,ASSEMBLY DISTRICT 046,Incumbent,"Finance, Insurance & Real Estate"
110993,13008566,2,1,681,6,2,2006,384525,1,Won,"DENHAM, JEFF",Won-General,Republican,Standard,SENATE DISTRICT 012,Incumbent,"Finance, Insurance & Real Estate"
226797,17657762,1,1,15033,6,2,2018,383765,1,Won,"SANCHEZ, LINDA T",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 038,Incumbent,"Finance, Insurance & Real Estate"
168046,2429326,2,1,15017,6,2,2014,382750,1,Won,"NUNES, DEVIN G",Won-General,Republican,Standard,US HOUSE DISTRICT CA 022,Incumbent,"Finance, Insurance & Real Estate"
111025,1264215,1,1,9174,6,1,2006,382059,1,Won,"LOCKYER, BILL",Won-General,Democratic,Standard,TREASURER,Open,"Finance, Insurance & Real Estate"
160415,1874435,2,1,15043,6,2,2010,380547,1,Won,"CAMPBELL, JOHN",Won-General,Republican,Standard,US HOUSE DISTRICT CA 048,Incumbent,"Finance, Insurance & Real Estate"
82897,1264215,1,1,9175,5,2,2002,379669,1,Won,"LOCKYER, BILL",Won-General,Democratic,Standard,ATTORNEY GENERAL,Incumbent,Energy & Natural Resources
227250,43937863,1,1,15005,6,3,2018,379149,1,Won,"HARDER, JOSH",Won-General,Democratic,Standard,US HOUSE DISTRICT CA 010,Challenger,"Finance, Insurance & Real Estate"
12373,792818,1,1,9172,8,1,2002,378600,2,Lost,"CALDERON, THOMAS M (TOM)",Lost-Primary,Democratic,Standard,INSURANCE COMMISSIONER,Open,Health
238600,12996637,3,1,9172,6,1,2018,377654,2,Lost,"POIZNER, STEPHEN (STEVE)",Lost-General,Third-Party,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
